,start_time,end_time,stdDevX,absAvgX,ZCRX,OSCRX,minMaxX,stdDevY,absAvgY,ZCRY,OSCRY,minMaxY,stdDevZ,absAvgZ,ZCRZ,OSCRZ,minMaxZ,maxX,maxY,maxZ,label,activity
0,5.002,5.999,0.037519512133007096,0.03178585858585859,34.10230692076229,0.64,0.06960000000000001,0.04254248578726262,0.03951515151515153,20.060180541624877,0.4,-0.014800000000000008,0.06969185669249893,0.05683282828282828,31.09327983951856,0.38,0.0199,0.1292,0.1215,0.189,7,type
1,6.004,6.99,0.032834816474987365,0.027985204081632645,31.440162271805253,0.4897959183673469,0.06890000000000002,0.036801043287147464,0.031480612244897954,43.61054766734277,0.6326530612244898,-0.040999999999999995,0.06230978510207083,0.053509693877551036,28.397565922920872,0.46938775510204084,0.0032999999999999974,0.1516,0.0772,0.1606,7,type
2,7.004,7.992,0.025805145887471775,0.024021717171717187,30.364372469635615,0.56,0.041400000000000006,0.034281946440749174,0.02959848484848485,37.44939271255059,0.58,-0.0276,0.054064458455646655,0.0483419191919192,26.315789473684198,0.44,0.015399999999999997,0.0971,0.0867,0.1665,7,type
3,7.4,8.695,0.9187589575820972,0.7716494163424119,4.633204633204634,0.23076923076923078,-0.8121,1.0819074845015018,0.8277599221789882,6.94980694980695,0.16923076923076924,0.7027999999999999,0.8977387344911795,0.7960190661478601,1.5444015444015444,0.38461538461538464,0.4896999999999998,1.7971,3.2694,2.2316,5,walk
4,8.015,8.996,0.03221107368130415,0.028359595959595963,33.63914373088686,0.54,0.021900000000000003,0.04653973905917003,0.03383333333333333,40.774719673802245,0.5,-0.019699999999999995,0.06526650347949951,0.05549696969696969,28.542303771661572,0.54,0.0681,0.1099,0.1419,0.2412,7,type
5,8.5,12.0,0.23340077527641626,0.162636507936508,11.142857142857142,0.3045977011494253,0.10699999999999998,0.9750271580852223,0.6285569985569984,4.285714285714286,0.21264367816091953,1.7711999999999999,0.48003401381165334,0.29309783549783547,14.857142857142858,0.3390804597701149,-0.45609999999999995,0.7609,4.037,1.1591,4,sitDown
6,8.701,9.196,0.7810924452081489,0.5919454545454546,14.141414141414163,0.2,1.0086,1.7750176695454374,1.442136363636364,6.06060606060607,0.16,1.7890000000000001,1.1467356889354638,1.1294222222222217,2.0202020202020234,0.52,0.41479999999999984,2.0875,4.3086,2.2146,5,walk
7,9.023,12.0,0.3516454251970078,0.19481197301854952,20.154517971111854,0.42953020134228187,0.2994999999999999,1.0271432725558942,0.6334829679595279,8.397715821296606,0.2483221476510067,2.5383000000000004,0.4134600304198252,0.27438802698145015,16.123614376889485,0.4563758389261745,-0.25759999999999983,1.5509,4.176,1.0175,4,sitDown
8,9.222,9.899,1.1597506483056772,0.9791964028776977,4.43131462333826,0.3142857142857143,-1.2432000000000003,1.4923412618662053,0.9441323741007196,7.3855243722304325,0.22857142857142856,2.8222,1.4133896826562373,1.050248920863309,10.339734121122605,0.2857142857142857,2.103,1.7146,5.5179,3.8555,5,walk
9,9.904,10.498,0.6964368872126828,0.5693474576271189,8.417508417508426,0.3,1.0928999999999998,1.8287536995625255,1.2365101694915257,8.417508417508426,0.23333333333333334,3.0910999999999995,1.0893883258243002,0.9669652542372884,3.3670033670033703,0.23333333333333334,0.9695,2.2236,5.7726,2.4089,5,walk
10,11.0,15.0,0.3728793890176369,0.2247421717171716,9.5,0.3181818181818182,0.7928999999999999,1.0521731839790083,0.6166103535353531,9.0,0.26262626262626265,1.9173,0.5347325873807204,0.34308724747474806,13.0,0.398989898989899,-0.7966000000000002,1.7869,4.6574,1.4032,4,sitDown
11,12.004,14.999,0.450603258633497,0.25930910623946013,19.69949916527545,0.3624161073825503,0.2691000000000001,1.4463320007501421,0.9571767284991579,4.674457429048412,0.20134228187919462,2.372,0.5951883523712302,0.39701905564924134,11.35225375626043,0.3825503355704698,-0.26570000000000005,1.9816,5.7291,1.424,4,sitDown
12,16.0,20.0,0.02275231749042192,0.020598236775818627,50.75,0.5326633165829145,0.0189,0.03256635522228381,0.028701385390428207,36.25,0.507537688442211,-0.0194,0.03500854034255106,0.0317583123425692,38.0,0.5577889447236181,-0.03990000000000002,0.0829,0.0887,0.1505,0,rest
13,16.001,20.0,0.7437470709369179,0.5228211125158025,7.001750437609404,0.29797979797979796,-0.6322999999999999,0.5589586380067137,0.4050553729456386,11.252813203300828,0.3787878787878788,-1.5497,0.6390678443823248,0.4014595448798988,12.253063265816458,0.3333333333333333,-1.5530000000000002,2.0451,1.1953,1.1209,2,lieDown
14,16.018,20.998,0.752662213152382,0.47797406659939423,10.240963855421686,0.31451612903225806,-1.2685,0.5525661265054427,0.40432310797174587,9.036144578313252,0.4153225806451613,-1.3556000000000001,0.6030110599478854,0.40217558022199823,12.650602409638553,0.4274193548387097,-0.6325999999999998,2.1144,1.4511,1.7615,2,lieDown
15,18.007,20.999,0.4729530653400432,0.26333999999999985,8.689839572192522,0.33557046979865773,2.033,1.5858785711731291,0.9717065546218483,4.679144385026742,0.1476510067114094,1.6414999999999997,0.4948648856850342,0.35646521008403387,9.358288770053484,0.33557046979865773,-0.6849999999999998,2.8708,5.8186,1.0135,4,sitDown
16,21.002,24.999,0.5093936753320937,0.36789721871049313,8.506379784838629,0.3434343434343434,-0.10089999999999999,0.5145983182681702,0.35404310998735716,10.507880910683012,0.4393939393939394,0.15810000000000013,0.463409136428275,0.32314298356510707,16.76257192894671,0.3939393939393939,-0.35430000000000006,1.5834,1.6121,1.3107,2,lieDown
17,21.003,21.999,0.11315023447935907,0.09241010101010101,12.048192771084354,0.36,-0.02290000000000003,0.05145954376663332,0.042279292929292916,32.128514056224944,0.4,0.001700000000000007,0.09970569119508031,0.08477070707070702,16.064257028112472,0.38,-0.0781,0.2496,0.1228,0.2117,7,type
18,23.002,26.998,0.5644924869019599,0.38896485461441216,8.258258258258254,0.3383838383838384,-0.25680000000000014,0.4526098595966649,0.38366953223767397,7.007007007007003,0.3888888888888889,-1.0742999999999998,0.3721621675654985,0.2673182048040453,11.761761761761756,0.40404040404040403,-0.9224999999999999,1.9261,1.1167,0.5944,2,lieDown
19,24.018,24.984,0.1585476475078296,0.1265553846153846,13.45755693581779,0.30612244897959184,0.10350000000000004,0.05088327530264454,0.04070666666666667,32.09109730848858,0.5306122448979592,-0.047200000000000006,0.10388886772619389,0.08720769230769229,11.387163561076592,0.3877551020408163,0.0474,0.3788,0.1088,0.2737,7,type
20,26.01,26.991,0.10577047628977551,0.07772474747474745,27.522935779816567,0.36,0.10639999999999997,0.0606975231265274,0.04824797979797979,23.445463812436333,0.44,0.011200000000000015,0.06589888380687298,0.058880303030303005,26.50356778797151,0.46,-0.030799999999999994,0.3152,0.159,0.1409,7,type
21,26.02,30.988,0.32540818163149005,0.19736514690982765,17.310789049919485,0.4251012145748988,0.6611999999999999,0.21610502169147888,0.14055775075987834,17.310789049919485,0.41700404858299595,0.1985999999999999,0.2760199258784533,0.18733708206686925,18.317230273752013,0.46558704453441296,0.46510000000000007,1.2222,1.0794,1.4414,6,turn
22,28.0,31.998,0.2793968804716614,0.18708407079646033,16.75837918959479,0.4797979797979798,1.1366,0.15620264292925334,0.11446308470290775,17.758879439719855,0.4696969696969697,0.014100000000000001,0.21036771881279898,0.16612566371681414,12.756378189094544,0.5050505050505051,-0.17600000000000005,1.6002,0.5319,0.6603,6,turn
