time,ax,ay,az,aT
0.004000,-0.0509,0.0496,-0.0266,0.076
0.005000,0.0966,-0.0094,-0.0131,0.098
0.005000,0.2093,-0.1003,-0.1647,0.285
0.006000,0.2040,-0.1647,-0.2649,0.373
0.012000,0.1898,-0.1879,-0.3318,0.426
0.031000,0.1248,-0.1439,-0.3592,0.407
0.032000,0.0653,-0.1034,-0.3259,0.348
0.032000,0.0733,-0.0984,-0.2377,0.268
0.033000,0.0289,-0.0849,-0.2240,0.241
0.037000,-0.0332,-0.0833,-0.1554,0.179
0.041000,-0.0130,-0.0697,-0.0546,0.089
0.047000,0.0304,-0.1327,0.1059,0.172
0.054000,0.1269,-0.1119,0.1884,0.253
0.058000,0.1357,-0.1342,0.1297,0.231
0.062000,0.1456,-0.1183,0.0699,0.200
0.070000,0.1439,-0.0975,0.0257,0.176
0.071000,0.1017,-0.0944,-0.0330,0.143
0.077000,0.1195,-0.0936,-0.1300,0.200
0.083000,0.1137,-0.0986,-0.2150,0.262
0.087000,0.0929,-0.0724,-0.2736,0.298
0.092000,0.0383,-0.0568,-0.2534,0.263
0.097000,-0.0001,-0.0724,-0.2367,0.248
0.102000,-0.0318,-0.0652,-0.2008,0.214
0.108000,0.0073,-0.0272,-0.1337,0.137
0.113000,0.0295,-0.0216,-0.0750,0.083
0.127000,0.0984,-0.0542,-0.0414,0.120
0.128000,0.1062,-0.0557,-0.0653,0.137
0.128000,0.0542,-0.0210,-0.1145,0.128
0.148000,-0.0346,0.0008,-0.2333,0.236
0.149000,0.0460,0.0183,-0.2757,0.280
0.149000,0.0189,0.0206,-0.1463,0.149
0.150000,-0.0659,0.0174,-0.1094,0.129
0.153000,-0.0613,-0.0108,0.0265,0.068
0.158000,-0.0593,0.0330,0.0760,0.102
0.163000,-0.0215,0.0419,0.0754,0.089
0.168000,0.0045,0.0205,0.1862,0.187
0.173000,0.0280,0.0336,0.2159,0.220
0.178000,-0.0061,0.0951,0.1180,0.152
0.183000,0.0461,0.0677,0.0780,0.113
0.188000,0.0835,0.0112,0.0805,0.117
0.193000,0.0816,0.0145,0.0699,0.108
0.200000,0.0717,0.0356,0.0192,0.082
0.204000,0.0600,0.0173,0.0211,0.066
0.209000,0.0940,-0.1884,0.0634,0.220
0.214000,0.1886,-0.3189,0.2812,0.465
0.219000,0.1182,-0.0497,0.2813,0.309
0.224000,0.0931,0.1017,0.2046,0.247
0.229000,0.0895,0.1217,0.2412,0.285
0.248000,0.0980,0.1034,0.1714,0.223
0.249000,0.0540,0.0623,0.1274,0.152
0.249000,0.0530,0.0307,0.1160,0.131
0.250000,0.0306,0.0138,0.1237,0.128
0.254000,-0.2060,-0.0078,0.1241,0.241
0.259000,-1.0620,-0.0797,0.3733,1.128
0.265000,-1.1490,0.1995,0.8889,1.466
0.274000,-0.3556,0.4919,0.8937,1.080
0.275000,0.0122,0.5571,0.5999,0.819
0.280000,0.0705,0.4640,0.2804,0.547
0.287000,0.0594,0.2837,0.0007,0.290
0.290000,-0.0729,0.0478,-0.0910,0.126
0.295000,-0.1231,-0.0475,-0.0981,0.164
0.302000,-0.1027,-0.0704,-0.0866,0.152
0.305000,-0.0610,0.0088,-0.1159,0.131
0.310000,0.0010,0.0592,-0.1202,0.134
0.317000,0.0192,0.0903,-0.1052,0.140
0.320000,0.0216,0.1223,-0.1019,0.161
0.325000,0.0037,0.1407,-0.0431,0.147
0.330000,0.0164,0.0666,0.0076,0.069
0.336000,0.0343,0.0591,0.0407,0.080
0.340000,0.0536,0.0525,0.0513,0.091
0.345000,0.0765,0.0531,0.0153,0.094
0.365000,0.0815,0.0812,0.0104,0.116
0.366000,0.0851,0.0642,-0.0104,0.107
0.367000,0.0909,0.0750,0.0069,0.118
0.367000,0.0703,0.0825,0.0682,0.128
0.371000,0.0625,0.1107,0.1267,0.179
0.376000,0.0469,0.1141,0.1633,0.205
0.381000,0.0390,0.1345,0.2246,0.265
0.393000,0.0448,0.1457,0.3201,0.355
0.394000,0.0137,0.1142,0.3853,0.402
0.396000,0.0257,0.0650,0.4598,0.465
0.409000,0.1108,0.1056,0.5459,0.567
0.410000,0.1086,0.1223,0.6379,0.659
0.412000,0.1452,0.1197,0.6510,0.678
0.424000,0.1128,0.1514,0.7635,0.786
0.425000,0.0915,0.1813,0.8296,0.854
0.426000,0.0392,0.1809,0.9247,0.943
0.431000,-0.0085,0.2455,1.0392,1.068
0.437000,0.0308,0.2843,1.0597,1.098
0.442000,0.0473,0.3294,1.1250,1.173
0.447000,0.0803,0.3441,1.2037,1.254
0.465000,0.0919,0.3931,1.3232,1.383
0.466000,0.0199,0.3722,1.3843,1.434
0.467000,-0.0243,0.4633,1.2568,1.340
0.470000,-0.0512,0.4964,1.2374,1.334
0.472000,-0.0255,0.4441,1.1766,1.258
0.477000,-0.0024,0.4955,1.1152,1.220
0.482000,-0.0280,0.5466,1.0398,1.175
0.495000,-0.0481,0.5996,0.9852,1.154
0.497000,-0.0115,0.6114,0.9970,1.170
0.498000,-0.0078,0.5821,1.0500,1.201
0.511000,0.0131,0.5665,1.0941,1.232
0.512000,0.0119,0.4583,1.1267,1.216
0.513000,-0.0040,0.3795,1.1254,1.188
0.525000,0.0181,0.2344,1.0459,1.072
0.526000,0.0231,0.1438,0.9172,0.929
0.527000,0.0379,0.0946,0.7617,0.769
0.537000,0.0906,0.1203,0.6096,0.628
0.538000,0.1556,0.1548,0.6164,0.654
0.543000,0.1813,0.0965,0.5342,0.572
0.548000,0.1789,0.0761,0.4899,0.527
0.565000,0.1316,0.0622,0.3544,0.383
0.569000,0.0813,0.0561,0.1552,0.184
0.570000,0.1021,0.0578,-0.0227,0.119
0.571000,0.0571,0.1535,-0.1640,0.232
0.575000,0.0730,0.1707,-0.2711,0.329
0.578000,0.0690,0.1755,-0.3249,0.376
0.596000,0.0832,0.2141,-0.3912,0.454
0.597000,0.1367,0.1821,-0.3796,0.443
0.598000,0.1501,0.1984,-0.2218,0.333
0.609000,0.1141,0.2212,-0.0456,0.253
0.610000,0.1897,0.1836,0.1451,0.301
0.610000,0.1573,0.1049,0.3623,0.409
0.613000,0.0419,-0.0285,0.5838,0.586
0.621000,-0.0924,-0.1908,0.5282,0.569
0.624000,-0.1418,-0.2571,0.3689,0.471
0.629000,-0.1117,-0.3128,0.1853,0.380
0.635000,-0.0035,-0.3034,0.1083,0.322
0.639000,0.1155,-0.2499,-0.0265,0.277
0.644000,0.1617,-0.1979,-0.1356,0.289
0.649000,0.1417,-0.1628,-0.2189,0.307
0.654000,0.1432,-0.1927,-0.2513,0.348
0.659000,0.0984,-0.1957,-0.2745,0.351
0.664000,-0.0044,-0.2272,-0.2941,0.372
0.678000,-0.1588,-0.2769,-0.1999,0.377
0.679000,-0.2582,-0.3178,-0.0631,0.414
0.679000,-0.1880,-0.4236,0.0428,0.465
0.700000,-0.1029,-0.4836,-0.0706,0.499
0.701000,-0.0859,-0.4789,-0.0573,0.490
0.702000,-0.1477,-0.4171,-0.1204,0.459
0.702000,-0.1621,-0.3985,-0.2626,0.504
0.704000,-0.0393,-0.4616,-0.3363,0.572
0.710000,0.0451,-0.5222,-0.4366,0.682
0.715000,0.0921,-0.5158,-0.5071,0.729
0.719000,0.0756,-0.4878,-0.5874,0.767
0.725000,0.0123,-0.4717,-0.6549,0.807
0.730000,-0.0453,-0.4763,-0.7365,0.878
0.736000,-0.1188,-0.4453,-0.8144,0.936
0.740000,-0.1393,-0.4096,-0.8491,0.953
0.745000,-0.0969,-0.4014,-0.8972,0.988
0.751000,-0.1415,-0.3379,-0.9301,1.000
0.755000,-0.1774,-0.2323,-0.9193,0.965
0.760000,-0.2219,-0.1764,-0.9438,0.985
0.765000,-0.2812,-0.1940,-0.9762,1.034
0.770000,-0.3486,-0.1961,-1.0239,1.099
0.775000,-0.4222,-0.1299,-1.0909,1.177
0.780000,-0.4941,-0.1167,-1.1429,1.251
0.802000,-0.5260,-0.0739,-1.1718,1.287
0.804000,-0.5766,-0.0118,-1.1853,1.318
0.805000,-0.6268,0.0731,-1.1608,1.321
0.805000,-0.6936,0.1512,-1.0684,1.283
0.806000,-0.7603,0.2102,-0.9823,1.260
0.811000,-0.8175,0.2479,-0.9359,1.267
0.816000,-0.8229,0.2857,-0.7916,1.177
0.830000,-0.7845,0.2622,-0.6365,1.044
0.831000,-0.7703,0.1842,-0.4965,0.935
0.832000,-0.7112,0.0526,-0.3876,0.812
0.844000,-0.6014,0.0656,-0.2582,0.658
0.845000,-0.5239,0.0517,-0.1785,0.556
0.847000,-0.4918,0.0082,-0.0930,0.501
0.857000,-0.4592,-0.0269,0.0487,0.463
0.858000,-0.4556,-0.1067,0.0762,0.474
0.861000,-0.4582,-0.1286,0.1367,0.495
0.868000,-0.4565,-0.1491,0.1564,0.505
0.871000,-0.8036,-0.0560,0.4214,0.909
0.877000,-1.2760,0.0591,0.8579,1.539
0.882000,-1.4042,0.1670,1.0182,1.743
0.897000,-1.1168,0.2253,0.8708,1.434
0.898000,-0.6534,0.2354,0.5208,0.868
0.899000,-0.3322,0.1549,0.2283,0.432
0.920000,-0.2781,0.0874,0.0976,0.307
0.921000,-0.3634,0.0355,0.0709,0.372
0.922000,0.2163,-0.2042,0.2998,0.422
0.922000,1.6540,-0.5966,1.4202,2.260
0.923000,0.8657,-0.3646,2.3449,2.526
0.927000,-0.7536,-0.1274,1.5401,1.719
0.932000,-0.6900,-0.3783,0.0681,0.790
0.938000,-0.1829,-0.4442,-0.6975,0.847
0.942000,0.0741,-0.3821,-0.8269,0.914
0.947000,0.0891,-0.2556,-0.7294,0.778
0.952000,-0.1695,-0.1678,-0.5770,0.624
0.958000,-0.4165,-0.0401,-0.5211,0.668
0.962000,-0.5280,0.1059,-0.4658,0.712
0.969000,-0.4446,0.1696,-0.3475,0.589
0.973000,-0.2572,0.2222,-0.4647,0.576
0.978000,-0.0706,0.0677,-0.3391,0.353
0.983000,0.0801,-0.4007,-0.1052,0.422
0.988000,0.2200,-0.8341,0.0377,0.863
0.993000,0.1930,-0.6807,0.0258,0.708
0.998000,0.1885,-0.3918,-0.0164,0.435
1.015000,0.2923,-0.1465,-0.1418,0.356
1.018000,0.0629,-0.0483,-0.1989,0.214
1.018000,-0.2681,-0.0275,-0.1558,0.311
1.019000,-0.2919,-0.1546,-0.1905,0.381
1.024000,-0.2299,-0.0936,-0.1604,0.296
1.028000,-0.2484,-0.0384,-0.1493,0.292
1.042000,-0.3395,0.0025,-0.0710,0.347
1.044000,-0.3970,0.0496,-0.1132,0.416
1.044000,-0.2281,0.0081,-0.2719,0.355
1.048000,0.0737,-0.0825,-0.4227,0.437
1.056000,0.2796,-0.1432,-0.5887,0.667
1.058000,0.3655,-0.1571,-0.7355,0.836
1.063000,0.3076,-0.1975,-0.8450,0.921
1.069000,0.1936,-0.2428,-0.7642,0.825
1.073000,0.0974,-0.2778,-0.5230,0.600
1.078000,0.1533,-0.3150,-0.2752,0.446
1.083000,0.2317,-0.2654,-0.0057,0.352
1.088000,0.2330,-0.2735,-0.0053,0.359
1.093000,0.2569,-0.2725,0.0959,0.387
1.098000,0.2373,-0.2483,0.1867,0.391
1.113000,0.2405,-0.1866,0.2422,0.389
1.115000,0.2030,-0.1674,0.1198,0.289
1.115000,0.1561,-0.1200,0.0122,0.197
1.137000,0.2143,-0.0751,-0.0095,0.227
1.138000,0.2211,-0.0769,-0.0038,0.234
1.138000,0.2482,-0.0751,0.1283,0.289
1.139000,0.2646,-0.1345,0.1586,0.337
1.139000,0.3844,-0.1956,0.2859,0.517
1.144000,0.3410,-0.1689,0.3559,0.521
1.149000,0.2550,-0.1537,0.4130,0.509
1.155000,0.2431,-0.1152,0.3975,0.480
1.160000,0.2273,-0.0829,0.4428,0.505
1.165000,0.2201,-0.0628,0.5313,0.579
1.170000,0.1922,-0.0067,0.6279,0.657
1.175000,0.0964,-0.0136,0.6679,0.675
1.180000,-0.0197,0.0673,0.7518,0.755
1.186000,-0.0748,0.1534,0.8101,0.828
1.190000,-0.1050,0.2354,0.9098,0.946
1.195000,-0.1129,0.2761,1.0651,1.106
1.200000,-0.1232,0.3005,1.1387,1.184
1.205000,-0.1611,0.2927,1.0963,1.146
1.210000,-0.2083,0.3091,0.9714,1.040
1.215000,-0.2464,0.3416,0.8510,0.950
1.230000,-0.2529,0.3719,0.8119,0.928
1.231000,-0.2921,0.3848,0.8671,0.993
1.232000,-0.3426,0.4133,1.0859,1.211
1.253000,-0.3979,0.3720,1.1113,1.238
1.254000,-0.2544,0.3557,0.9707,1.065
1.255000,-0.0165,0.3722,0.9946,1.062
1.255000,0.1351,0.4206,1.0918,1.178
1.256000,0.1251,0.4938,0.8697,1.008
1.261000,0.0165,0.4988,0.8235,0.963
1.266000,-0.1201,0.4700,0.8981,1.021
1.271000,-0.2248,0.3677,0.8951,0.993
1.276000,-0.1353,0.2158,0.7429,0.785
