time,ax,ay,az,aT
0.005000,-0.1031,-0.0332,-0.7205,0.729
0.006000,-0.2326,-0.0157,-0.6045,0.648
0.006000,-0.2498,-0.0114,-0.3844,0.459
0.007000,-0.1262,-0.0591,-0.2333,0.272
0.008000,0.0174,-0.1232,-0.1173,0.171
0.008000,0.1409,-0.1527,-0.0634,0.217
0.009000,0.2685,-0.1240,-0.0533,0.300
0.042000,0.2654,-0.0815,0.0004,0.278
0.044000,0.2785,-0.0347,0.1979,0.343
0.044000,0.3776,-0.0290,0.4123,0.560
0.045000,0.4403,-0.0131,0.5611,0.713
0.046000,0.4413,-0.0229,0.5476,0.704
0.046000,0.3932,-0.0056,0.3491,0.526
0.047000,0.3435,-0.0182,0.0721,0.351
0.050000,0.2759,0.0055,-0.2013,0.342
0.052000,0.2059,0.0074,-0.4774,0.520
0.077000,0.1164,-0.0096,-0.6048,0.616
0.079000,-0.0170,0.0287,-0.6532,0.654
0.079000,-0.0573,0.0985,-0.6660,0.676
0.080000,0.0977,0.0800,-0.7123,0.723
0.081000,0.1853,0.0344,-0.6296,0.657
0.097000,0.1232,0.0826,-0.4838,0.506
0.098000,-0.0073,0.1916,-0.2828,0.342
0.099000,-0.2111,0.2286,-0.1034,0.328
0.100000,-0.2984,0.1876,0.0488,0.356
0.103000,-0.3408,0.2229,0.2237,0.465
0.109000,-0.3296,0.2089,0.3521,0.526
0.114000,-0.3416,0.2222,0.3586,0.543
0.119000,-0.3508,0.2303,0.3763,0.564
0.124000,-0.3782,0.1995,0.4317,0.608
0.129000,-0.3391,0.2124,0.4278,0.586
0.145000,-0.3313,0.2122,0.4562,0.602
0.147000,-0.3182,0.1959,0.3367,0.503
0.148000,-0.2940,0.1466,0.2361,0.405
0.149000,-0.2426,0.1215,0.2705,0.383
0.166000,-0.1694,0.1422,0.3117,0.382
0.167000,0.0432,0.2417,0.4881,0.546
0.168000,0.1444,0.2378,0.5354,0.603
0.169000,-0.0249,0.1495,0.4421,0.467
0.174000,-0.1110,0.1164,0.5936,0.615
0.179000,-0.0740,0.0450,0.7124,0.718
0.185000,0.0425,-0.0372,0.5678,0.571
0.189000,0.0928,-0.0642,0.4300,0.445
0.195000,0.1227,-0.0295,0.4277,0.446
0.204000,0.1058,-0.0739,0.5831,0.597
0.206000,0.1365,-0.0944,0.7572,0.775
0.210000,0.2079,-0.1073,0.7415,0.778
0.215000,0.2860,-0.1429,0.6135,0.692
0.227000,0.2522,-0.1886,0.5018,0.592
0.228000,0.2092,-0.1241,0.4323,0.496
0.230000,0.0892,-0.0794,0.3650,0.384
0.248000,-0.0935,-0.0452,0.2834,0.302
0.251000,-0.1966,-0.0248,0.1731,0.263
0.253000,-0.0946,-0.0395,0.0639,0.121
0.253000,0.1078,-0.0870,-0.0860,0.163
0.255000,0.2323,-0.1198,-0.1064,0.282
0.260000,0.3153,-0.0209,-0.0378,0.318
0.265000,0.3047,-0.0267,-0.0821,0.317
0.271000,0.2690,-0.0344,-0.1874,0.330
0.276000,0.2442,-0.0632,-0.3094,0.399
0.281000,0.1418,-0.0310,-0.3845,0.411
0.286000,0.1770,-0.0040,-0.4555,0.489
0.290000,0.2260,-0.0278,-0.4877,0.538
0.296000,0.2733,-0.0416,-0.4929,0.565
0.301000,0.3207,-0.0727,-0.4020,0.519
0.306000,0.3125,-0.0817,-0.2414,0.403
0.311000,0.3625,-0.1580,-0.0856,0.405
0.318000,0.3462,-0.2308,0.0870,0.425
0.321000,0.3166,-0.1866,0.2321,0.435
0.326000,0.2637,-0.1593,0.2408,0.391
0.331000,0.2462,-0.1401,0.2351,0.368
0.346000,0.2665,-0.1371,0.2170,0.370
0.348000,0.2748,-0.0994,0.2448,0.381
0.349000,0.3711,-0.0636,0.2451,0.449
0.370000,0.4345,0.0160,0.3565,0.562
0.372000,0.4440,0.0950,0.6148,0.764
0.373000,0.4898,0.1474,0.7957,0.946
0.374000,0.2373,0.1953,1.0827,1.126
0.375000,-0.1652,0.2114,1.2648,1.293
0.376000,-0.3079,0.0883,1.1036,1.149
0.381000,-0.3031,0.0611,0.7661,0.826
0.387000,-0.2168,0.1219,0.5988,0.648
0.393000,-0.1658,0.1590,0.3725,0.438
0.397000,-0.1263,0.0537,0.1344,0.192
0.402000,0.0104,-0.0876,-0.2413,0.257
0.407000,0.1525,-0.1300,-0.4656,0.507
0.412000,0.2271,-0.1614,-0.6634,0.719
0.432000,0.2505,-0.1372,-0.7203,0.775
0.433000,0.3131,-0.1645,-0.7875,0.863
0.434000,0.4049,-0.2308,-0.8340,0.955
0.436000,0.4503,-0.2942,-0.8721,1.025
0.439000,0.4577,-0.3197,-0.9627,1.113
0.443000,0.4142,-0.3285,-0.9518,1.089
0.448000,0.3585,-0.3091,-0.8943,1.012
0.461000,0.3239,-0.2313,-0.7999,0.893
0.463000,0.3196,-0.2308,-0.6995,0.803
0.464000,0.3004,-0.2667,-0.6194,0.738
0.477000,0.2932,-0.2542,-0.5476,0.671
0.478000,0.3219,-0.2159,-0.4301,0.579
0.479000,0.2812,-0.1381,-0.0636,0.320
0.487000,0.2255,-0.0942,0.3918,0.462
0.488000,0.2442,-0.1144,0.5090,0.576
0.493000,0.1756,-0.1108,0.2651,0.337
0.498000,0.2688,-0.2206,0.1782,0.391
0.504000,0.2799,-0.0285,0.3160,0.423
0.508000,0.1661,0.0397,0.3991,0.434
0.513000,0.0587,-0.1268,0.3534,0.380
0.518000,0.0158,-0.2436,0.2885,0.378
0.523000,-0.0500,-0.2662,0.3264,0.424
0.529000,-0.1221,-0.2811,0.3439,0.461
0.535000,-0.1457,-0.2096,0.3996,0.474
0.538000,-0.3780,-0.0854,0.5272,0.654
0.544000,-0.8305,0.1313,0.8296,1.181
0.549000,-1.0447,0.3840,1.2080,1.643
0.566000,-0.7677,0.4489,1.4268,1.681
0.568000,-0.3965,0.3967,1.4490,1.554
0.570000,-0.2638,0.2133,1.2897,1.334
0.571000,-0.3728,0.0656,0.9777,1.048
0.574000,-0.5982,0.0448,0.6754,0.903
0.578000,-0.7501,0.1046,0.3300,0.826
0.593000,-0.7796,0.1894,0.0091,0.802
0.594000,-0.7489,0.2918,-0.3011,0.858
0.595000,-0.6384,0.3046,-0.4742,0.852
0.599000,-0.5529,0.3057,-0.5298,0.824
0.607000,-0.5367,0.3622,-0.5254,0.834
0.609000,-0.5638,0.3673,-0.2540,0.719
0.614000,-0.5827,0.3460,0.1101,0.687
0.621000,-0.5799,0.3431,0.4394,0.804
0.625000,-0.5524,0.2835,0.7811,0.998
0.630000,-0.5594,0.2189,1.0686,1.226
0.635000,-0.5507,0.1718,1.3635,1.481
0.640000,-0.4180,0.0958,1.6865,1.740
0.645000,-0.3223,0.0612,2.0559,2.082
0.665000,-0.3177,0.0899,2.2641,2.288
0.667000,-0.3207,0.1061,2.4085,2.432
0.669000,-0.3804,0.0166,2.3232,2.354
0.671000,-0.4382,-0.0665,2.0464,2.094
0.673000,-0.4474,-0.1289,1.5873,1.654
0.676000,-0.4159,-0.2027,1.1643,1.253
0.680000,-0.2464,-0.3403,0.8218,0.923
0.695000,-0.0402,-0.4523,0.4839,0.664
0.697000,0.0733,-0.4464,0.2313,0.508
0.698000,0.1128,-0.3445,0.0622,0.368
0.701000,0.0034,-0.2502,-0.0347,0.253
0.709000,-0.1247,-0.2574,-0.1603,0.328
0.710000,-0.1820,-0.2435,-0.3576,0.469
0.716000,-0.2180,-0.1638,-0.6184,0.676
0.723000,-0.2783,-0.0359,-0.9297,0.971
