time,ax,ay,az,aT
0.605000,-1.2580,-0.4500,-0.4950,1.425
0.607000,-1.4004,-0.3779,-0.5892,1.566
0.608000,-1.5385,-0.3119,-0.5540,1.665
0.610000,-1.6820,-0.1694,-0.5437,1.776
0.612000,-1.7979,-0.0572,-0.5475,1.880
0.621000,-1.8764,0.0434,-0.5267,1.949
0.625000,-1.9057,0.0501,-0.5077,1.973
0.633000,-1.9442,0.0605,-0.4842,2.005
0.641000,-1.9311,0.0379,-0.4587,1.985
0.645000,-1.8869,-0.0010,-0.3870,1.926
0.647000,-1.8012,-0.0836,-0.3745,1.842
0.648000,-1.7158,-0.1035,-0.3065,1.746
0.650000,-1.6585,-0.1058,-0.3169,1.692
0.654000,-1.5919,-0.2015,-0.3511,1.643
0.659000,-1.4709,-0.2552,-0.3457,1.532
0.664000,-1.4100,-0.3043,-0.2934,1.472
0.670000,-1.3838,-0.3537,-0.2743,1.454
0.674000,-1.3776,-0.3558,-0.2952,1.453
0.679000,-1.3971,-0.3527,-0.2913,1.470
0.691000,-1.3608,-0.3098,-0.3678,1.443
0.693000,-1.3629,-0.2658,-0.4885,1.472
0.694000,-1.4028,-0.2507,-0.5538,1.529
0.706000,-1.4239,-0.2238,-0.6236,1.570
0.708000,-1.3732,-0.2498,-0.5915,1.516
0.710000,-1.3107,-0.3408,-0.4716,1.434
0.714000,-1.2173,-0.4024,-0.4277,1.352
0.719000,-1.1308,-0.5052,-0.3918,1.299
0.725000,-0.9987,-0.5626,-0.4575,1.234
0.729000,-0.8619,-0.5982,-0.5123,1.168
0.734000,-0.7287,-0.6404,-0.5257,1.103
0.739000,-0.6384,-0.6912,-0.5997,1.116
0.745000,-0.5842,-0.6705,-0.5786,1.061
0.751000,-0.5636,-0.6976,-0.5837,1.070
0.755000,-0.5646,-0.6312,-0.5528,1.011
0.760000,-0.5670,-0.6654,-0.4883,1.001
0.765000,-0.5671,-0.7066,-0.3961,0.989
0.770000,-0.5137,-0.7227,-0.2943,0.934
0.776000,-0.4822,-0.6457,-0.2066,0.832
0.781000,-0.4571,-0.5585,-0.1183,0.731
0.796000,-0.4862,-0.5676,-0.0415,0.749
0.797000,-0.5157,-0.5333,-0.0092,0.742
0.798000,-0.4703,-0.4580,0.0167,0.657
0.818000,-0.5032,-0.4006,0.0151,0.643
0.820000,-0.4660,-0.3945,0.0062,0.611
0.821000,-0.4281,-0.3777,0.0643,0.574
0.822000,-0.3666,-0.3548,0.1426,0.530
0.823000,-0.2987,-0.4000,0.1442,0.520
0.826000,-0.2481,-0.4403,0.1303,0.522
0.831000,-0.1826,-0.4601,0.0864,0.502
0.836000,-0.0602,-0.4939,-0.0305,0.498
0.841000,0.0847,-0.4731,-0.0964,0.490
0.847000,0.1674,-0.5054,-0.1329,0.549
0.851000,0.2552,-0.5380,-0.1877,0.624
0.857000,0.3580,-0.5231,-0.1856,0.660
0.862000,0.4520,-0.5255,-0.0991,0.700
0.869000,0.5399,-0.5295,-0.0453,0.758
0.872000,0.5788,-0.5307,0.0046,0.785
0.877000,0.5818,-0.5149,0.0999,0.783
0.882000,0.6089,-0.5135,0.2466,0.834
0.887000,0.6860,-0.5158,0.3719,0.935
0.892000,0.7246,-0.4705,0.4901,0.993
0.897000,0.7519,-0.4660,0.5880,1.062
0.919000,0.7438,-0.4867,0.6979,1.130
0.921000,0.8117,-0.4825,0.7936,1.233
0.922000,0.8574,-0.4391,0.8620,1.293
0.923000,0.8973,-0.4311,0.9392,1.369
0.925000,0.9027,-0.4582,1.0395,1.451
0.929000,0.9299,-0.4727,1.0994,1.516
0.936000,1.0109,-0.4856,1.1970,1.640
0.946000,1.0855,-0.4981,1.3213,1.781
0.948000,1.1463,-0.5218,1.3646,1.857
0.950000,1.1798,-0.5437,1.4238,1.927
0.962000,1.2111,-0.5161,1.3603,1.893
0.964000,1.2458,-0.4256,1.2864,1.841
0.965000,1.3100,-0.4190,1.1839,1.815
0.976000,1.3366,-0.4110,1.0898,1.773
0.978000,1.3735,-0.3727,0.9416,1.706
0.980000,1.4328,-0.3613,0.7885,1.675
0.982000,1.4923,-0.3033,0.6910,1.672
0.987000,1.5328,-0.2767,0.6276,1.679
0.993000,1.5472,-0.2361,0.5530,1.660
0.998000,1.5971,-0.2342,0.4768,1.683
1.009000,1.6515,-0.2125,0.4878,1.735
1.010000,1.6595,-0.2146,0.4604,1.735
1.017000,1.6891,-0.2559,0.4795,1.774
1.018000,1.7283,-0.2552,0.4976,1.817
1.025000,1.7603,-0.2234,0.4475,1.830
1.028000,1.8174,-0.1605,0.4262,1.874
1.034000,1.9253,-0.1188,0.4932,1.991
1.038000,1.9727,-0.1128,0.6176,2.070
1.044000,2.0243,-0.1694,0.7278,2.158
1.048000,2.0941,-0.2326,0.8229,2.262
1.054000,2.0985,-0.2533,0.8310,2.271
1.059000,2.1250,-0.2437,0.8624,2.306
1.063000,2.1749,-0.1873,0.8575,2.345
1.069000,2.1909,-0.1287,0.7732,2.327
1.074000,2.1483,-0.0543,0.7531,2.277
1.079000,2.1612,-0.0148,0.8522,2.323
1.086000,2.1828,-0.0211,0.8876,2.356
1.089000,2.1455,0.0562,0.9321,2.340
1.094000,2.0249,0.0958,0.8593,2.202
1.099000,1.9358,0.0925,0.7597,2.082
1.105000,1.9189,0.1108,0.6669,2.035
1.109000,1.9153,0.1451,0.5877,2.009
1.115000,1.9449,0.1694,0.5006,2.015
1.129000,1.8989,0.2459,0.4735,1.972
1.131000,1.8475,0.2970,0.4311,1.920
1.133000,1.8494,0.2753,0.4472,1.923
1.157000,1.8181,0.2586,0.4392,1.888
1.159000,1.7594,0.2697,0.3546,1.815
1.160000,1.7908,0.2884,0.2674,1.834
1.161000,1.8039,0.3155,0.3011,1.856
1.162000,1.7833,0.3379,0.3239,1.844
1.164000,1.7721,0.3193,0.3612,1.837
1.165000,1.7906,0.3112,0.4083,1.863
1.173000,1.8440,0.3264,0.4448,1.925
1.176000,1.8418,0.2666,0.5022,1.928
1.181000,1.8509,0.2369,0.6402,1.973
1.187000,1.8630,0.2275,0.7107,2.007
1.191000,1.8409,0.2500,0.7185,1.992
1.196000,1.7958,0.2674,0.6795,1.939
1.201000,1.7384,0.3527,0.6759,1.898
1.206000,1.6459,0.3721,0.6815,1.820
1.211000,1.5369,0.3928,0.6614,1.719
1.216000,1.4420,0.4223,0.5628,1.605
1.228000,1.3279,0.4368,0.5030,1.486
1.230000,1.2065,0.5167,0.4709,1.394
1.231000,1.1517,0.5663,0.4522,1.361
1.249000,1.1473,0.6084,0.3895,1.356
1.250000,1.0843,0.5938,0.3020,1.273
1.251000,1.0423,0.5886,0.2040,1.214
1.252000,1.0108,0.5487,0.0727,1.152
1.262000,0.9958,0.4813,0.0180,1.106
1.263000,1.0000,0.4585,-0.0797,1.103
1.266000,1.0101,0.4681,-0.0770,1.116
1.274000,0.9810,0.4121,-0.0827,1.067
1.276000,1.0040,0.3334,-0.0728,1.060
1.281000,0.9702,0.2797,0.0078,1.010
1.287000,0.9631,0.2362,-0.0034,0.992
1.291000,0.9335,0.2426,-0.0180,0.965
1.297000,0.8826,0.2583,-0.0743,0.923
1.302000,0.8452,0.2773,-0.1542,0.903
1.307000,0.8025,0.3284,-0.2578,0.905
1.312000,0.6983,0.3507,-0.3194,0.844
1.317000,0.5842,0.3702,-0.3521,0.776
1.322000,0.5640,0.3956,-0.3367,0.767
1.327000,0.5239,0.3898,-0.3501,0.741
1.332000,0.4754,0.4200,-0.4065,0.753
1.347000,0.4568,0.3833,-0.3625,0.698
1.349000,0.4463,0.3401,-0.3142,0.643
1.350000,0.4392,0.2964,-0.2555,0.588
1.355000,0.4208,0.2413,-0.2103,0.529
1.358000,0.4301,0.2323,-0.2050,0.530
1.362000,0.4355,0.2286,-0.1773,0.523
1.367000,0.4517,0.1523,0.0236,0.477
1.372000,0.4800,0.0928,0.2493,0.549
1.378000,0.5045,-0.0106,0.4884,0.702
1.383000,0.4697,-0.1031,0.6432,0.803
1.389000,0.4017,-0.1408,0.7007,0.820
1.393000,0.3627,-0.1585,0.6515,0.762
1.397000,0.2873,-0.1464,0.5291,0.620
1.403000,0.2735,-0.0806,0.4375,0.522
1.408000,0.2139,-0.0433,0.2499,0.332
1.413000,0.1172,0.0481,0.0069,0.127
1.418000,0.0076,0.0878,-0.2800,0.294
1.424000,-0.0918,0.1148,-0.4328,0.457
1.428000,-0.2183,0.1941,-0.5453,0.619
1.434000,-0.2615,0.2303,-0.5868,0.682
1.448000,-0.3009,0.2153,-0.5298,0.646
1.449000,-0.3225,0.1908,-0.4893,0.616
1.450000,-0.3278,0.1665,-0.4114,0.552
1.471000,-0.3189,0.1002,-0.2864,0.440
1.472000,-0.3270,0.0909,-0.1823,0.385
1.473000,-0.6554,0.1081,0.1020,0.672
1.473000,-1.1207,0.2696,0.8306,1.421
1.475000,-1.0914,0.4328,1.4282,1.849
1.479000,-0.6513,0.4421,1.5145,1.707
1.484000,-0.0674,0.2510,0.9126,0.949
1.489000,0.5348,-0.1587,-0.0476,0.560
1.496000,0.7078,-0.5223,-0.8419,1.218
1.499000,0.4018,-0.6718,-1.0704,1.326
1.506000,-0.0072,-0.6243,-0.7367,0.966
1.509000,-0.3696,-0.4747,-0.1132,0.612
1.514000,-0.4970,-0.2896,0.4961,0.760
1.520000,-0.4245,-0.1139,0.8008,0.913
1.525000,-0.3381,-0.0227,0.9681,1.026
1.529000,-0.2690,-0.0382,0.9197,0.959
1.535000,-0.2023,-0.1411,0.7827,0.821
1.540000,-0.1271,-0.2783,0.4612,0.553
1.545000,0.0347,-0.3953,0.1560,0.426
1.549000,0.1531,-0.4602,-0.1707,0.514
1.566000,0.2001,-0.4487,-0.3219,0.587
1.568000,0.1482,-0.3809,-0.4248,0.590
1.569000,0.0417,-0.3728,-0.4341,0.574
1.591000,-0.0968,-0.2906,-0.3891,0.495
1.593000,-0.1370,-0.1943,-0.3090,0.390
1.593000,-0.1654,-0.1824,-0.2665,0.363
1.594000,-0.1622,-0.1808,-0.1932,0.310
1.595000,-0.1357,-0.1901,-0.1379,0.271
1.596000,-0.0628,-0.2477,-0.0943,0.272
1.601000,-0.0213,-0.2867,-0.0623,0.294
1.606000,-0.0112,-0.2965,-0.0479,0.301
1.611000,0.0433,-0.3108,-0.0831,0.325
1.615000,0.0369,-0.2781,-0.0985,0.297
1.621000,0.0094,-0.2427,-0.1769,0.300
1.625000,-0.0126,-0.2201,-0.1506,0.267
1.631000,-0.0735,-0.2521,-0.1287,0.292
1.637000,-0.0985,-0.2022,-0.1159,0.253
1.640000,-0.1369,-0.2247,-0.1232,0.291
1.646000,-0.1630,-0.2630,-0.0525,0.314
1.650000,-0.1972,-0.2069,0.0122,0.286
1.656000,-0.2592,-0.1762,0.0029,0.313
1.661000,-0.3202,-0.1922,-0.0255,0.374
1.666000,-0.3218,-0.1804,0.0237,0.370
1.681000,-0.3401,-0.1470,0.0429,0.373
1.683000,-0.3301,-0.1364,0.0395,0.359
1.683000,-0.3314,-0.1510,0.0432,0.367
1.704000,-0.3899,-0.1617,0.0648,0.427
1.705000,-0.3478,-0.1472,0.1592,0.410
1.706000,-0.2820,-0.2142,0.3205,0.478
1.707000,-0.2791,-0.3294,0.4246,0.606
1.707000,-0.2137,-0.4243,0.4021,0.622
1.712000,-0.1336,-0.4703,0.3452,0.599
1.717000,-0.1019,-0.4626,0.2944,0.558
1.722000,-0.0873,-0.4512,0.2161,0.508
1.728000,-0.1342,-0.3880,0.0863,0.419
1.732000,-0.1943,-0.3614,-0.0006,0.410
1.738000,-0.2758,-0.2866,-0.0926,0.408
1.741000,-0.3404,-0.2209,-0.1154,0.422
1.747000,-0.3630,-0.2026,-0.0944,0.426
1.752000,-0.4158,-0.1983,-0.0891,0.469
1.758000,-0.4235,-0.1783,-0.0888,0.468
1.762000,-0.4174,-0.2035,-0.1209,0.480
1.767000,-0.3687,-0.2234,-0.1843,0.469
1.781000,-0.3059,-0.2512,-0.3281,0.514
1.783000,-0.2966,-0.2043,-0.4207,0.554
1.783000,-0.2668,-0.2214,-0.4563,0.573
1.805000,-0.2413,-0.2258,-0.4648,0.570
1.807000,-0.2309,-0.2762,-0.4691,0.591
1.807000,-0.2568,-0.2697,-0.4010,0.547
1.808000,-0.2879,-0.2855,-0.2508,0.477
1.809000,-0.2731,-0.3311,-0.0877,0.438
1.812000,-0.2677,-0.3327,0.0408,0.429
1.817000,-0.2536,-0.3146,0.0966,0.416
1.823000,-0.2598,-0.2791,0.0857,0.391
1.828000,-0.2948,-0.2585,0.0525,0.396
1.833000,-0.2844,-0.2859,0.0745,0.410
1.838000,-0.2553,-0.3119,0.0939,0.414
1.843000,-0.2566,-0.3894,0.1123,0.480
