time,ax,ay,az,aT
0.623000,-0.5541,0.2003,-0.3639,0.693
0.623000,-0.4897,0.1776,-0.4921,0.717
0.627000,-0.4724,0.1670,-0.6118,0.791
0.652000,-0.4730,0.1099,-0.7388,0.884
0.653000,-0.4758,0.1407,-0.8373,0.973
0.654000,-0.4243,0.1539,-0.8214,0.937
0.654000,-0.4329,0.1245,-0.6948,0.828
0.654000,-0.4504,0.1061,-0.5711,0.735
0.658000,-0.5157,0.0973,-0.4499,0.691
0.664000,-0.5668,0.1219,-0.3505,0.677
0.668000,-0.5888,0.1763,-0.2332,0.657
0.673000,-0.5893,0.1891,-0.1713,0.642
0.678000,-0.5804,0.1676,-0.0213,0.605
0.683000,-0.6189,0.0891,0.0387,0.626
0.688000,-0.6833,0.1129,0.0719,0.696
0.693000,-0.7215,0.1204,0.0631,0.734
0.698000,-0.6681,0.0816,0.0110,0.673
0.703000,-0.3507,-0.0802,0.1276,0.382
0.708000,0.0155,-0.2262,0.4049,0.464
0.726000,-0.0060,-0.2310,0.6403,0.681
0.728000,-0.3649,-0.1904,0.5855,0.716
0.728000,-0.6493,-0.2135,0.3515,0.769
0.729000,-0.7032,-0.2156,0.0958,0.742
0.760000,-0.6037,-0.2128,-0.1199,0.651
0.761000,-0.4951,-0.1546,-0.2807,0.590
0.761000,-0.3464,-0.0992,-0.4432,0.571
0.762000,-0.1669,-0.1900,-0.4759,0.539
0.763000,-0.0845,-0.1899,-0.4378,0.485
0.763000,-0.1616,-0.1376,-0.3801,0.435
0.764000,-0.3094,-0.1272,-0.2995,0.449
0.769000,-0.4343,-0.0964,-0.2341,0.503
0.775000,-0.5282,-0.0653,-0.2775,0.600
0.779000,-0.5422,-0.0515,-0.3292,0.636
0.784000,-0.5276,-0.1078,-0.3223,0.628
0.790000,-0.5154,-0.1001,-0.2245,0.571
0.795000,-0.3998,-0.1009,-0.0248,0.413
0.799000,-0.2997,-0.1380,0.1110,0.348
0.805000,-0.2989,-0.1929,0.2215,0.419
0.810000,-0.1547,-0.2489,0.3188,0.433
0.815000,0.0084,-0.3243,0.4009,0.516
0.820000,0.1314,-0.3451,0.4896,0.613
0.825000,0.1909,-0.4039,0.6005,0.748
0.831000,0.2517,-0.4312,0.5495,0.742
0.835000,0.3253,-0.4856,0.4707,0.750
0.840000,0.3044,-0.4378,0.3327,0.628
0.845000,0.1604,-0.3888,0.2152,0.472
0.861000,0.0476,-0.3107,0.1622,0.354
0.862000,0.0115,-0.1302,-0.0216,0.132
0.863000,-0.0274,-0.0275,-0.1890,0.193
0.891000,-0.0371,0.0086,-0.3011,0.303
0.893000,0.0019,0.0120,-0.4344,0.435
0.893000,-0.0489,0.0301,-0.4693,0.473
0.894000,-0.0897,0.0136,-0.4511,0.460
0.895000,-0.1492,-0.0561,-0.4928,0.518
0.896000,-0.1388,-0.0632,-0.4090,0.436
0.897000,-0.0967,-0.0179,-0.2829,0.299
0.907000,-0.1521,-0.0024,-0.1608,0.221
0.908000,-0.2056,-0.0063,0.0258,0.207
0.911000,-0.2621,-0.0069,0.4032,0.481
0.921000,-0.2591,-0.0141,0.8477,0.887
0.922000,-0.1958,-0.1042,0.9978,1.022
0.926000,0.1442,-0.1317,0.7020,0.729
0.933000,0.3293,-0.1002,-0.1606,0.380
0.936000,-0.1367,0.0530,-0.6842,0.700
0.941000,-0.7038,0.2786,-0.4358,0.873
